PRACTICE_CODE,tot_patients_per_PRACTICE_CODE,Practice_code_weighted_tot_of_Parks only - Index of Multiple Deprivation rank (country specific),Practice_code_weighted_tot_of_Parks only - Index of Multiple Deprivation decile (country specific),Practice_code_weighted_tot_of_Parks only - Average distance to nearest Park or Public Garden (m),Practice_code_weighted_tot_of_Parks only - Average size of nearest Park or Public Garden (m2),"Practice_code_weighted_tot_of_Parks only - Average number of Parks or Public Gardens within 1,000 m radius","Practice_code_weighted_tot_of_Parks only - Average combined size of Parks or Public Gardens within 1,000 m radius (m2)",Practice_code_weighted_tot_of_Parks only - Number of postcodes within built up area,Practice_code_weighted_tot_of_Parks only - Number of built up area postcodes  within 300m of a Park or Public Garden (percentage),Practice_code_weighted_tot_of_Parks only - Number of built up area postcodes  within 300m of a Park or Public Garden,Practice_code_weighted_tot_of_Parks only - Number of built up area postcodes  within 900m of a Park or Public Garden (percentage),Practice_code_weighted_tot_of_Parks only - Number of built up area postcodes  within 900m of a Park or Public Garden,Practice_code_weighted_tot_of_Parks and Playing Fields - Index of Multiple Deprivation rank (country specific),Practice_code_weighted_tot_of_Parks and Playing Fields - Index of Multiple Deprivation decile (country specific),Practice_code_weighted_tot_of_Parks and Playing Fields - Average distance to nearest Park Public Garden or Playing Field (m),Practice_code_weighted_tot_of_Parks and Playing Fields - Average size of nearest Park Public Garden or Playing Field (m2),"Practice_code_weighted_tot_of_Parks and Playing Fields - Average number of  Parks Public Gardens or Playing Fields within 1,000 m radius","Practice_code_weighted_tot_of_Parks and Playing Fields - Average combined size of  Parks Public Gardens or Playing Fields within 1,000 m radius (m2)",Practice_code_weighted_tot_of_Parks and Playing Fields - Number of postcodes within built up area,Practice_code_weighted_tot_of_Parks and Playing Fields - Number of built up area postcodes  within 300m of a Park Public Garden or Playing Field,Practice_code_weighted_tot_of_Parks and Playing Fields - Number of built up area postcodes  within 300m of a Park Public Garden or Playing Field (percentage),Practice_code_weighted_tot_of_Parks and Playing Fields - Number of built up area postcodes  within 900m of a Park Public Garden or Playing Field,Practice_code_weighted_tot_of_Parks and Playing Fields - Number of built up area postcodes  within 900m of a Park Public Garden or Playing Field (percentage)
A81001,4175,13864,5,660,156485,2,226989,59,0.23,12,0.73,44,13864,5,486,87924,4,280781,59,20,0.35,54,0.86
A81002,19617,12571,4,675,259580,2,406606,50,0.21,9,0.73,33,12571,4,455,109724,4,419448,50,18,0.38,45,0.88
A81003,3470,6417,3,684,84542,1,117318,51,0.20,10,0.70,35,6417,3,503,65551,3,165705,51,17,0.36,43,0.86
A81004,9078,11599,4,939,98122,2,184542,51,0.26,15,0.57,32,11599,4,454,87945,4,269883,51,23,0.45,45,0.87
A81005,7918,21247,7,624,30089,1,39532,44,0.19,9,0.82,37,21247,7,317,41325,3,113379,44,26,0.60,44,0.99
A81006,12204,11449,4,639,309702,2,496985,52,0.22,10,0.76,35,11449,4,428,132649,4,505325,52,19,0.40,48,0.91
A81007,9520,10719,4,638,90003,1,142309,47,0.22,11,0.77,35,10719,4,492,71090,3,190358,47,17,0.38,40,0.87
A81008,4127,4539,2,775,88879,2,129218,59,0.19,9,0.64,33,4539,2,250,42737,5,225745,59,38,0.67,59,1.00
A81009,9249,10279,4,762,93429,2,196466,46,0.29,13,0.68,32,10279,4,383,78423,4,299534,46,23,0.52,43,0.92
A81011,11212,9452,3,632,88976,1,130598,48,0.23,11,0.77,36,9452,3,469,69568,3,185601,48,18,0.40,41,0.88
A81012,4727,5716,2,652,151965,2,228077,49,0.24,12,0.79,40,5716,2,362,77849,4,319397,49,24,0.50,47,0.96
A81013,6027,10936,4,1423,74182,1,77689,40,0.11,6,0.27,14,10936,4,263,19275,4,65559,40,27,0.69,40,1.00
A81014,3777,15501,5,521,607437,2,1015457,41,0.28,12,0.88,36,15501,5,334,272480,4,1078204,41,24,0.56,39,0.97
A81015,3002,13801,5,717,48429,2,91376,48,0.21,10,0.68,33,13801,5,357,70738,4,199063,48,22,0.47,47,0.98
A81016,9592,7153,3,619,106433,3,241242,49,0.39,19,0.77,39,7153,3,346,80016,4,315004,49,27,0.57,47,0.94
A81017,21234,18497,6,1242,87339,1,87627,39,0.04,2,0.28,14,18497,6,628,68005,3,114847,39,14,0.29,30,0.73
A81018,5416,10157,4,797,53617,2,92399,46,0.15,7,0.62,30,10157,4,340,68618,4,200992,46,22,0.49,45,0.99
A81019,10499,5415,2,636,161111,2,215294,46,0.22,10,0.80,37,5415,2,321,71505,5,320352,46,27,0.57,45,0.97
A81020,7923,12639,4,699,163155,2,261447,43,0.23,10,0.74,33,12639,4,366,111347,4,434937,43,21,0.50,41,0.94
A81021,13351,10276,4,649,147682,2,207262,46,0.19,8,0.76,34,10276,4,274,63287,5,332056,46,29,0.62,46,0.99
A81022,10754,10846,4,1384,56903,1,72072,45,0.09,5,0.38,22,10846,4,283,30420,3,92289,45,28,0.63,45,0.99
A81023,7713,6406,3,640,120880,2,238026,56,0.35,20,0.77,45,6406,3,358,81192,4,314528,56,29,0.54,53,0.94
A81025,4207,11584,4,703,168007,2,263987,59,0.19,10,0.70,41,11584,4,453,88678,4,305101,59,21,0.38,54,0.89
A81026,13622,9528,3,765,105189,2,202394,46,0.29,13,0.68,32,9528,3,384,79579,4,301760,46,23,0.52,42,0.92
A81027,12914,26848,9,954,49912,1,55055,43,0.24,10,0.54,24,26848,9,530,32273,2,57257,43,14,0.34,36,0.85
A81029,5762,5836,2,585,112615,3,247494,56,0.40,22,0.80,47,5836,2,331,82620,4,322160,56,30,0.58,54,0.95
A81030,11833,15540,5,671,164519,2,242815,50,0.25,13,0.76,40,15540,5,447,119626,3,303582,50,20,0.41,45,0.90
A81031,12654,9517,3,649,96311,1,143718,48,0.21,11,0.76,35,9517,3,496,75453,3,193913,48,16,0.36,41,0.87
A81032,10477,18436,6,610,28921,1,40330,44,0.19,9,0.85,38,18436,6,299,44436,4,120704,44,28,0.63,43,0.99
A81033,3469,6138,3,710,141612,2,210373,53,0.20,11,0.75,41,6138,3,385,73943,4,298938,53,24,0.46,50,0.95
A81034,21676,17080,6,1194,91157,1,91161,39,0.04,2,0.30,15,17080,6,568,66678,3,120481,39,16,0.33,32,0.78
A81035,10696,7609,3,674,129387,2,224511,60,0.29,18,0.76,49,7609,3,372,86192,4,311572,60,29,0.51,57,0.94
A81036,17283,13502,5,598,486593,2,796288,42,0.23,10,0.79,33,13502,5,366,180213,4,814127,42,20,0.48,40,0.95
A81037,7176,6053,2,626,106708,2,221904,54,0.35,18,0.77,43,6053,2,329,83448,4,314896,54,29,0.57,52,0.96
A81038,3340,5801,2,609,158954,2,239406,63,0.26,17,0.81,53,5801,2,339,89036,4,317052,63,30,0.51,61,0.97
A81039,8955,25886,8,1067,123401,1,134254,53,0.19,9,0.50,27,25886,8,522,54262,2,119725,53,17,0.32,48,0.90
A81040,8547,14639,5,544,564015,2,888869,41,0.25,10,0.87,36,14639,5,335,223875,4,959508,41,23,0.56,39,0.97
A81041,9091,10160,4,548,40856,2,69825,46,0.27,13,0.85,37,10160,4,389,38899,4,124517,46,22,0.47,42,0.94
A81042,5997,5987,3,633,79757,2,121477,52,0.23,11,0.76,39,5987,3,237,43632,6,242787,52,37,0.70,52,1.00
A81043,7965,10726,4,645,188903,2,245024,41,0.16,6,0.76,32,10726,4,283,71572,5,375087,41,24,0.59,40,0.99
A81044,14149,11338,4,611,82965,1,125977,46,0.22,11,0.81,36,11338,4,451,64386,3,183303,46,18,0.42,41,0.90
A81045,7548,12593,4,709,50429,2,95750,48,0.21,10,0.69,34,12593,4,353,68731,4,203671,48,22,0.47,47,0.98
A81046,12898,12996,4,659,196832,2,313787,56,0.23,12,0.74,41,12996,4,458,97424,4,347734,56,20,0.38,51,0.88
A81047,5710,19741,6,718,42243,1,48879,49,0.16,8,0.71,32,19741,6,391,52575,3,115859,49,20,0.42,47,0.98
A81048,5053,18777,6,681,66047,1,72213,49,0.18,9,0.73,34,18777,6,371,58979,3,120872,49,21,0.45,47,0.98
A81049,5466,5716,2,674,153040,2,224761,49,0.21,10,0.78,39,5716,2,369,75053,4,316636,49,23,0.48,47,0.96
A81051,7445,13532,5,936,81208,2,154094,45,0.20,9,0.57,26,13532,5,437,72941,4,260236,45,21,0.46,40,0.88
A81052,7328,12199,4,768,50525,2,89830,47,0.17,8,0.64,30,12199,4,347,68937,4,199532,47,22,0.47,46,0.99
A81053,6602,5937,2,769,12656,1,14070,45,0.34,17,0.74,36,5937,2,239,8434,4,39639,45,33,0.74,45,1.00
A81054,7942,12147,4,755,51754,2,94012,48,0.19,9,0.65,32,12147,4,356,70979,4,207197,48,22,0.47,46,0.98
A81056,2583,14563,5,514,561710,2,963838,41,0.28,12,0.89,36,14563,5,330,250292,4,1036124,41,24,0.57,39,0.97
A81057,8708,13525,5,543,575747,2,964604,44,0.27,11,0.88,38,13525,5,341,246690,4,1028633,44,26,0.56,42,0.96
A81058,7505,13410,5,1150,130998,1,170941,27,0.15,4,0.43,11,13410,5,630,72874,2,159960,27,7,0.26,19,0.75
A81060,5329,10993,4,626,83305,1,130045,47,0.22,11,0.78,36,10993,4,467,66082,3,180853,47,18,0.40,40,0.89
A81063,5317,8451,3,540,39625,2,65398,55,0.33,20,0.83,45,8451,3,356,40002,4,121880,55,31,0.54,52,0.94
A81064,6260,7960,3,644,116014,2,236442,55,0.36,20,0.77,45,7960,3,358,85170,4,311724,55,29,0.54,52,0.94
A81065,3360,5211,2,622,82249,2,117596,50,0.23,11,0.75,38,5211,2,226,41991,6,237594,50,36,0.72,49,1.00
A81066,4194,19480,6,1130,454515,1,496221,42,0.10,4,0.41,16,19480,6,615,137886,2,242159,42,13,0.36,31,0.81
A81067,10554,7394,3,768,256511,1,389510,67,0.14,8,0.65,36,7394,3,434,98047,3,381443,67,23,0.37,61,0.91
A81069,1584,10936,4,757,53945,2,96270,47,0.18,9,0.65,32,10936,4,337,67253,4,200241,47,23,0.49,46,0.99
A81070,1992,5528,2,742,120548,1,145891,51,0.17,9,0.65,31,5528,2,563,70850,2,173793,51,14,0.29,40,0.80
A81602,2520,16147,5,563,548431,2,888663,42,0.25,11,0.85,36,16147,5,360,244773,4,945456,42,23,0.52,40,0.96
A81605,2437,14200,5,492,34354,3,91499,47,0.39,17,0.85,40,14200,5,308,56312,4,178696,47,24,0.56,46,0.99
A81608,2618,7946,3,835,133868,1,210022,50,0.14,7,0.55,26,7946,3,368,68393,4,251987,50,24,0.51,46,0.93
A81609,1452,5791,2,721,357808,2,534710,69,0.17,9,0.68,37,5791,2,418,120918,4,483939,69,22,0.38,65,0.93
A81610,8328,15332,5,549,548908,2,925010,43,0.27,11,0.86,37,15332,5,356,241583,4,985874,43,24,0.55,40,0.95
A81611,5056,14065,5,927,148720,1,200230,26,0.21,5,0.57,14,14065,5,569,91473,2,216462,26,8,0.30,20,0.81
A81612,2960,15808,5,579,57053,1,72827,44,0.28,13,0.82,35,15808,5,387,43642,3,130212,44,21,0.51,40,0.92
A81613,3369,8561,3,656,82020,1,120782,50,0.22,11,0.73,35,8561,3,488,62006,3,169355,50,18,0.38,42,0.87
A81618,7582,15065,5,632,171784,1,176889,46,0.23,12,0.75,36,15065,5,321,99743,2,186030,46,22,0.47,46,1.00
A81621,2279,1082,1,489,107390,2,239739,45,0.31,14,0.92,41,1082,1,329,58022,4,340517,45,24,0.51,45,1.00
A81622,5162,7955,3,682,83593,1,123677,49,0.20,10,0.71,34,7955,3,513,63725,3,167017,49,16,0.35,41,0.86
A81623,1633,7383,3,719,316064,2,494074,64,0.20,10,0.68,34,7383,3,437,110004,3,449648,64,21,0.39,58,0.91
A81629,3889,9730,4,712,248016,2,367640,61,0.19,10,0.71,38,9730,4,431,101614,4,375340,61,22,0.39,56,0.91
A81630,737,2335,1,523,98555,3,233512,65,0.42,25,0.83,56,2335,1,314,70765,4,297336,65,33,0.58,63,0.98
A81631,6382,10460,4,555,39607,2,68412,44,0.26,12,0.85,36,10460,4,396,37135,4,121190,44,21,0.45,41,0.94
A81632,693,5169,2,744,355435,1,483021,72,0.16,9,0.66,39,5169,2,393,111661,4,445895,72,24,0.41,69,0.95
A81633,670,1450,1,363,68421,3,257041,74,0.55,34,0.94,69,1450,1,280,57594,4,281541,74,39,0.64,72,0.99
A81634,1496,1912,1,846,349758,1,424077,95,0.11,8,0.53,40,1912,1,401,91056,4,319854,95,26,0.36,90,0.97
A82003,10628,19968,6,813,68980,0.98,68996,59,0.13,8,0.59,37,19968,6,464,22987,2,61512,59,22,0.35,54,0.87
A82004,2328,14057,5,4545,193893,0.93,193893,62,0.00,0.00,0.00,0.00,14057,5,161,31094,2,57073,62,55,0.82,62,0.93
A82005,5119,15950,5,533,44096,1,94641,49,0.40,28,0.58,41,15950,5,172,28612,4,132710,49,35,0.52,48,0.69
A82006,4843,13282,4,835,1689,0.68,1693,36,0.09,4,0.41,24,13282,4,366,7338,2,16714,36,16,0.34,33,0.60
A82007,9396,10196,4,850,86593,2,142535,41,0.21,8,0.63,26,10196,4,306,36091,6,247195,41,25,0.61,40,0.96
A82008,11041,11341,4,907,108343,2,153662,40,0.22,8,0.61,24,11341,4,288,39666,7,271263,40,25,0.67,39,0.97
A82009,8776,10216,4,846,91921,2,147023,40,0.21,8,0.64,26,10216,4,303,41432,7,259031,40,25,0.63,39,0.97
A82010,6505,13232,5,943,114226,2,153788,38,0.18,6,0.58,22,13232,5,277,38089,7,280592,38,25,0.68,37,0.97
A82011,2589,8832,3,828,90539,2,155488,43,0.24,10,0.66,29,8832,3,288,37633,7,266005,43,26,0.64,42,0.98
A82012,15206,15838,5,921,105526,0.73,105559,47,0.13,8,0.42,26,15838,5,385,34524,2,71184,47,22,0.37,36,0.58
A82013,6689,13006,4,2496,9496,0.99,9733,35,0.09,1,0.26,6,13006,4,319,16051,2,34800,35,23,0.55,33,0.86
A82014,4302,13810,5,1388,305285,0.97,356736,25,0.21,6,0.37,12,13810,5,1019,159110,2,338707,25,9,0.30,16,0.47
A82015,5897,11285,4,986,152946,1,212454,41,0.19,8,0.56,24,11285,4,340,104648,4,282355,41,19,0.51,40,0.97
A82016,14364,14697,5,1097,153777,1,193843,41,0.18,7,0.51,21,14697,5,339,86374,4,241462,41,20,0.52,39,0.96
A82017,14622,11496,4,1162,159140,1,191178,40,0.14,5,0.42,18,11496,4,341,105273,4,269329,40,18,0.49,40,0.98
A82018,11741,13868,5,947,151159,1,205014,41,0.20,8,0.60,24,13868,5,344,89741,4,258527,41,20,0.52,39,0.96
A82019,8333,13743,5,1072,158026,1,190836,41,0.14,5,0.46,19,13743,5,353,100806,4,260171,41,19,0.51,40,0.96
A82020,14675,13583,5,913,153365,1,222221,39,0.23,9,0.64,25,13583,5,324,93740,4,269974,39,20,0.54,38,0.97
A82021,10467,19777,7,1460,32780,1,42543,47,0.15,12,0.49,31,19777,7,361,16418,3,65245,47,24,0.42,46,0.86
A82022,5033,18734,6,1420,82200,1,102394,32,0.26,8,0.58,19,18734,6,437,60821,2,114080,32,15,0.46,30,0.88
A82023,3808,12429,4,1408,12736,1,15601,34,0.12,5,0.55,20,12429,4,293,13421,2,35997,34,20,0.61,34,0.97
A82024,5627,16599,6,2719,96672,0.76,96672,37,0.04,2,0.06,2,16599,6,244,11414,1,17695,37,21,0.47,35,0.70
A82025,9320,20125,7,774,42017,2,49259,54,0.20,8,0.66,38,20125,7,324,19919,5,96702,54,26,0.53,52,0.93
A82026,16176,21279,7,841,58822,1,65230,47,0.21,8,0.59,31,21279,7,335,20336,4,86395,47,22,0.50,45,0.88
A82027,10968,20428,7,859,48577,1,54739,49,0.17,7,0.54,30,20428,7,313,21307,5,94828,49,26,0.53,47,0.89
A82028,6475,20480,7,487,1553912,2,1615309,53,0.36,23,0.78,48,20480,7,335,344470,4,1698140,53,36,0.54,52,0.87
A82029,3369,10446,4,2578,39524,0.62,42666,28,0.02,0.77,0.07,3,10446,4,813,14461,0.90,31951,28,6,0.20,12,0.38
A82030,5977,18810,6,1510,122855,1,279821,36,0.13,8,0.35,20,18810,6,656,43867,2,249463,36,18,0.34,27,0.52
A82031,2843,16376,6,4842,10745,0.89,10988,43,0.00,0.25,0.01,0.74,16376,6,790,22785,1,25792,43,22,0.44,34,0.65
A82032,13662,10471,4,1324,7836,1,7844,59,0.09,6,0.50,31,10471,4,372,12868,5,65799,59,37,0.62,56,0.97
A82033,8408,8623,3,557,34551,0.89,34551,44,0.27,15,0.71,36,8623,3,264,21463,2,54090,44,28,0.54,43,0.87
A82034,6610,26344,9,3126,124044,1,128029,53,0.03,0.57,0.05,2,26344,9,503,20577,1,35684,53,21,0.42,45,0.83
A82035,15867,17767,6,1114,166779,1,175232,48,0.12,9,0.46,31,17767,6,522,74813,3,198351,48,26,0.44,44,0.77
A82036,9094,17623,6,1055,172145,1,180758,48,0.13,9,0.46,31,17623,6,513,74287,3,203598,48,26,0.43,44,0.77
A82037,4230,11228,4,1684,102992,1.00,103050,112,0.32,37,0.63,74,11228,4,1320,66808,2,113172,112,54,0.44,76,0.65
A82038,4475,15884,5,1730,19881,0.90,21379,36,0.12,7,0.31,19,15884,5,857,18089,2,34646,36,16,0.33,28,0.61
A82039,7598,16030,5,1733,18843,0.97,19046,46,0.06,3,0.22,10,16030,5,422,13874,2,40665,46,20,0.39,43,0.91
A82040,2684,12121,4,1136,11595,1,12477,46,0.14,11,0.44,25,12121,4,294,14491,4,48048,46,30,0.62,46,0.99
A82041,10659,12459,4,1169,11474,1,12141,44,0.11,9,0.40,22,12459,4,298,14811,4,48145,44,28,0.61,44,0.99
A82044,22152,12583,4,1992,73450,1,73668,42,0.07,4,0.19,10,12583,4,309,17139,3,44039,42,24,0.55,42,0.96
A82045,8174,15168,5,1870,223333,0.97,230599,48,0.10,3,0.37,17,15168,5,754,56776,3,184722,48,16,0.35,37,0.79
A82046,5728,22004,7,1584,27189,1,30154,82,0.03,2,0.17,15,22004,7,543,25963,2,58700,82,34,0.52,66,0.84
A82047,8987,11149,4,694,50613,1,75652,48,0.30,18,0.68,37,11149,4,258,26011,5,130667,48,33,0.63,48,0.94
A82048,6655,12105,4,882,53711,1,76693,50,0.27,16,0.63,35,12105,4,279,26782,4,124736,50,33,0.62,49,0.95
A82049,5319,11567,4,897,52690,1,75700,49,0.26,16,0.58,33,11567,4,265,26237,4,119561,49,33,0.61,48,0.92
A82050,7091,12862,4,1103,43972,1,63121,46,0.23,14,0.55,29,12862,4,272,23659,4,104032,46,31,0.62,46,0.95
A82052,7420,22251,7,1248,184685,1.00,190135,43,0.03,1,0.33,15,22251,7,375,30651,4,190052,43,26,0.59,37,0.85
A82053,4675,22928,7,1511,25161,1.00,25226,42,0.09,4,0.43,21,22928,7,504,15822,1,28024,42,16,0.40,37,0.88
A82055,7001,13182,4,2352,15703,1,15940,75,0.08,3,0.22,8,13182,4,1014,19982,2,40303,75,30,0.33,56,0.73
A82057,6633,20108,7,1497,24241,1,33617,45,0.16,13,0.48,29,20108,7,386,15049,3,55594,45,24,0.42,42,0.85
A82058,4082,14730,5,1286,17145,1,18136,46,0.13,10,0.39,23,14730,5,310,14948,3,46735,46,29,0.59,46,0.98
A82060,1803,12662,4,1260,17992,1,19076,46,0.13,10,0.39,22,12662,4,301,14869,3,47650,46,29,0.61,46,0.99
A82062,4819,9072,3,841,91816,2,148192,42,0.23,9,0.64,27,9072,3,307,39800,7,252922,42,25,0.61,41,0.97
A82063,1747,20556,7,464,1443274,2,1507955,57,0.36,26,0.78,52,20556,7,300,318446,4,1603518,57,40,0.55,56,0.88
A82064,4624,14140,5,1744,89053,1,89110,45,0.07,3,0.17,8,14140,5,317,18344,2,42266,45,25,0.57,44,0.97
A82065,2959,22900,7,1574,56260,1,56667,42,0.06,3,0.29,15,22900,7,742,14654,1,24741,42,11,0.28,30,0.70
A82068,3944,19434,6,843,69054,0.99,69932,58,0.14,8,0.59,38,19434,6,452,22788,2,61890,58,23,0.37,53,0.87
A82070,5982,21716,7,1946,94555,1,97377,70,0.06,3,0.22,17,21716,7,452,28642,3,67559,70,35,0.58,60,0.87
A82071,4350,11506,4,713,47991,2,127640,39,0.29,9,0.68,24,11506,4,328,24294,6,213542,39,22,0.58,38,0.96
A82072,4546,10961,4,861,85271,2,140577,38,0.21,7,0.62,24,10961,4,325,38737,6,249974,38,23,0.60,37,0.95
A82074,2394,27841,9,4923,17688,1,18141,54,0.00,0.20,0.02,0.80,27841,9,418,21471,1,24452,54,24,0.47,50,0.92
A82075,6463,12815,4,1177,14183,1,15121,44,0.12,9,0.41,22,12815,4,303,14808,4,47875,44,28,0.60,44,0.99
A82077,5327,11531,4,866,91702,2,146576,38,0.21,7,0.63,24,11531,4,310,40342,7,260763,38,24,0.63,37,0.96
A82608,4116,17373,6,834,13831,0.94,18814,35,0.16,5,0.57,22,17373,6,202,23580,2,57702,35,28,0.70,34,0.92
A82613,955,19031,7,6396,9183,0.94,9259,37,0.00,0.10,0.01,0.65,19031,7,310,10984,2,22887,37,21,0.52,36,0.93
A82617,2301,11543,4,969,11103,0.50,11108,14,0.02,0.69,0.30,9,11543,4,236,7796,0.84,12475,14,4,0.14,13,0.46
A82619,1639,15164,5,1703,31224,1,33833,45,0.07,3,0.22,10,15164,5,390,17428,3,62413,45,21,0.43,43,0.91
A82620,732,1939,0.64,111,69155,0.11,70003,4,0.01,0.49,0.04,2,1939,0.64,54,16532,0.21,57700,4,2,0.04,3,0.08
A82621,1598,16195,5,741,13227,1,19276,49,0.24,12,0.84,42,16195,5,308,13101,4,61313,49,32,0.65,48,0.97
A82623,5453,12006,4,842,48897,1,72259,49,0.28,16,0.65,35,12006,4,272,26391,4,121425,49,32,0.62,48,0.95
A82629,3788,8937,3,862,95117,2,151871,42,0.23,10,0.63,27,8937,3,298,38972,7,257602,42,26,0.64,41,0.97
A82631,2951,7956,3,521,52038,0.37,52889,15,0.07,3,0.14,6,7956,3,245,44072,0.88,62252,15,8,0.17,14,0.29
A82635,1980,13499,5,905,149304,1,205553,40,0.19,7,0.60,25,13499,5,332,94980,4,263374,40,18,0.51,39,0.96
A82641,1972,14418,5,941,152457,1,205357,41,0.21,8,0.61,25,14418,5,345,95164,4,254360,41,19,0.51,39,0.95
A82642,1195,4467,2,981,12354,0.25,14649,10,0.02,1,0.04,2,4467,2,101,4331,0.51,11637,10,5,0.12,9,0.19
A82646,3535,6237,2,386,17465,0.79,18388,27,0.29,9,0.74,25,6237,2,140,24976,2,73058,27,23,0.69,26,0.78
A82647,2376,23118,7,1926,64833,0.99,64930,41,0.03,1,0.13,7,23118,7,772,16694,1,20743,41,12,0.30,27,0.66
A82650,2746,16216,5,2257,37410,0.87,37696,35,0.03,2,0.17,8,16216,5,925,13154,1,22628,35,7,0.15,17,0.37
A82651,3353,20039,6,4347,303037,0.91,303211,32,0.04,2,0.17,9,20039,6,440,16891,1,25675,32,18,0.49,28,0.75
A82654,3992,13524,5,871,151627,1,213996,39,0.24,9,0.66,26,13524,5,325,98032,4,266530,39,20,0.54,38,0.97
A83001,10332,12506,4,619,257120,2,668695,50,0.30,17,0.86,45,12506,4,303,128520,4,683973,50,32,0.60,50,0.99
A83003,9152,8869,3,690,141744,1,143193,41,0.18,8,0.76,31,8869,3,309,36051,4,176107,41,22,0.56,40,0.97
A83004,3682,10195,4,924,43606,2,56132,35,0.10,4,0.54,20,10195,4,359,56408,4,185804,35,17,0.48,35,0.98
A83005,11446,13501,5,864,49477,1,76053,38,0.21,9,0.57,22,13501,5,369,44640,3,133723,38,19,0.50,35,0.95
A83006,7727,13076,5,792,67387,1,111086,40,0.20,9,0.63,25,13076,5,376,49624,4,165497,40,18,0.45,38,0.96
A83007,9386,4887,2,1449,22145,1,28321,31,0.08,3,0.31,11,4887,2,401,29141,2,64420,31,11,0.31,29,0.86
A83008,5530,4572,2,473,122367,1,122629,49,0.39,19,0.91,44,4572,2,286,57873,5,184783,49,30,0.60,48,0.98
A83009,8798,17589,6,843,88742,2,212394,40,0.15,7,0.61,27,17589,6,379,62062,4,224226,40,17,0.41,40,0.98
A83010,14556,16221,5,813,86867,1,123008,39,0.20,9,0.60,24,16221,5,387,57135,4,162800,39,18,0.47,37,0.95
A83011,27599,24571,8,882,45287,1,48033,50,0.13,8,0.63,35,24571,8,451,32186,3,80034,50,19,0.37,48,0.95
A83012,15116,7216,3,797,42738,1,50998,40,0.18,8,0.67,27,7216,3,449,45921,2,102000,40,16,0.38,36,0.89
A83013,11116,9291,3,687,93416,2,169998,41,0.24,10,0.73,29,9291,3,330,66108,4,251487,41,22,0.55,39,0.97
A83014,7907,18226,6,2604,11715,1,12285,36,0.01,0.33,0.09,3,18226,6,994,10499,1,18770,36,7,0.23,15,0.45
A83015,10386,9743,4,1030,92008,1,132158,40,0.19,8,0.58,24,9743,4,389,44526,3,146551,40,20,0.46,38,0.96
A83016,11584,8622,3,1387,38280,1,39117,48,0.04,2,0.25,11,8622,3,383,16524,4,63838,48,19,0.40,46,0.97
A83017,7483,6218,2,2854,15481,1,15621,43,0.00,0.16,0.02,0.94,6218,2,483,17930,2,35133,43,16,0.36,38,0.89
A83018,19397,12994,4,918,51186,1,66095,55,0.17,10,0.61,36,12994,4,297,34969,4,141093,55,33,0.61,53,0.97
A83019,5122,5588,2,1889,112292,1,114820,42,0.05,2,0.25,9,5588,2,468,37073,2,65876,42,15,0.34,37,0.89
A83020,13499,10338,4,893,36364,1,38831,47,0.14,7,0.65,30,10338,4,299,18434,4,74186,47,29,0.59,45,0.98
A83021,13574,9777,4,868,66918,1,87615,42,0.22,9,0.66,28,9777,4,363,38137,3,108592,42,22,0.49,40,0.96
A83022,23804,12041,4,1143,57182,1,66225,44,0.14,7,0.47,23,12041,4,355,27588,3,85382,44,24,0.52,42,0.93
A83023,10844,7590,3,1295,41556,1,42280,48,0.05,2,0.27,12,7590,3,370,17041,4,67504,48,19,0.41,47,0.98
A83024,5811,12217,4,1353,70435,1,97808,37,0.05,2,0.35,14,12217,4,506,38745,2,128513,37,14,0.38,32,0.84
A83025,13708,7695,3,850,84707,1,120762,42,0.23,10,0.66,28,7695,3,349,43333,3,149121,42,23,0.50,41,0.97
A83026,9734,12228,4,1220,318955,1,353933,42,0.09,4,0.26,9,12228,4,334,54568,2,110202,42,21,0.51,41,0.98
A83027,6228,16727,6,2214,12327,1,12327,35,0.00,0.08,0.06,3,16727,6,462,22336,2,31979,35,13,0.36,32,0.93
A83028,10082,17332,6,720,154978,2,267182,36,0.20,7,0.72,27,17332,6,355,103836,4,308143,36,17,0.47,35,0.98
A83029,4820,19181,6,1731,103798,1,130698,40,0.04,1,0.12,5,19181,6,360,34284,2,84994,40,19,0.47,38,0.95
A83030,12069,16234,5,1201,40467,1,58318,42,0.12,6,0.37,18,16234,5,379,23451,3,89570,42,20,0.49,39,0.94
A83031,10051,19848,7,883,70302,2,155648,44,0.19,10,0.55,25,19848,7,474,45743,3,186778,44,17,0.39,40,0.90
A83032,2451,11558,4,2038,20676,1,22215,52,0.23,12,0.38,20,11558,4,391,28973,2,39437,52,27,0.51,48,0.92
A83033,8727,11821,4,1120,35233,1,97479,31,0.03,1,0.28,12,11821,4,409,37743,3,127803,31,9,0.29,31,0.87
A83034,10069,15211,5,693,65500,2,166431,49,0.32,17,0.71,37,15211,5,381,46789,4,207847,49,26,0.50,47,0.94
A83035,7119,12793,4,387,21652,0.83,32546,60,0.40,30,0.73,54,12793,4,293,19522,2,65400,60,42,0.55,55,0.75
A83036,11650,25282,8,1615,35526,1,38258,37,0.03,3,0.16,10,25282,8,356,18141,3,67181,37,17,0.46,35,0.97
A83037,13831,13148,4,622,15341,3,33051,38,0.29,13,0.76,31,13148,4,372,29684,4,98809,38,22,0.57,35,0.90
